% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.582	1	0	59	3	1	2	137
0.028	1	1	3	9	1	0	85
0.583	1	0	59	4	1	2	137
0.029	1	1	3	10	1	0	85
0.589	1	0	59	10	2	12	125
0.589	1	0	59	10	3	28	469
0.589	1	0	59	10	4	8	85
0.589	1	0	59	10	6	14	157
0.589	1	0	59	10	1	2	26
0.03	1	1	4	1	1	0	85
0.584	1	0	59	5	1	2	137
0.031	1	1	4	2	1	0	85
0.585	1	0	59	6	1	2	137
0.032	1	1	4	3	1	0	85
0.033	1	1	4	4	1	0	85
0.586	1	0	59	7	1	2	137
0.034	1	1	4	5	1	0	85
0.587	1	0	59	8	1	2	137
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.588	1	0	59	9	1	2	137
0.037	1	1	4	8	1	0	85
0.589	1	0	59	10	1	2	137
0.038	1	1	4	9	1	0	85
0.59	1	0	60	1	1	2	137
0.039	1	1	4	10	1	0	85
0.04	1	1	5	1	1	0	85
0.591	1	0	60	2	1	2	137
0.041	1	1	5	2	1	0	85
0.592	1	0	60	3	1	2	137
0.042	1	1	5	3	1	0	85
0.593	1	0	60	4	1	2	137
0.043	1	1	5	4	1	0	85
0.59	1	0	60	1	2	12	125
0.59	1	0	60	1	3	28	469
0.59	1	0	60	1	4	8	85
0.59	1	0	60	1	6	14	157
0.59	1	0	60	1	1	2	26
0.044	1	1	5	5	1	0	85
0.594	1	0	60	5	1	2	137
0.045	1	1	5	6	1	0	85
0.595	1	0	60	6	1	2	137
0.046	1	1	5	7	1	0	85
0.596	1	0	60	7	1	2	137
0.047	1	1	5	8	1	0	85
0.048	1	1	5	9	1	0	85
0.597	1	0	60	8	1	2	137
0.049	1	1	5	10	1	0	85
0.591	1	0	60	2	2	12	125
0.591	1	0	60	2	3	28	469
0.591	1	0	60	2	4	8	85
0.591	1	0	60	2	6	14	157
0.591	1	0	60	2	1	2	26
0.05	1	1	6	1	1	0	85
0.051	1	1	6	2	1	0	85
0.052	1	1	6	3	1	0	85
0.053	1	1	6	4	1	0	85
0.598	1	0	60	9	1	2	137
0.054	1	1	6	5	1	0	85
0.599	1	0	60	10	1	2	137
0.055	1	1	6	6	1	0	85
0.056	1	1	6	7	1	0	85
0.057	1	1	6	8	1	0	85
0.058	1	1	6	9	1	0	85
0.059	1	1	6	10	1	0	85
0.06	1	1	7	1	1	0	85
0.592	1	0	60	3	2	12	125
0.592	1	0	60	3	3	28	469
0.592	1	0	60	3	4	8	85
0.592	1	0	60	3	6	14	157
0.592	1	0	60	3	1	2	26
0.593	1	0	60	4	2	12	125
0.593	1	0	60	4	3	28	469
0.593	1	0	60	4	4	8	85
0.593	1	0	60	4	6	14	157
0.593	1	0	60	4	1	2	26
0.594	1	0	60	5	2	12	125
